pygame 2.6.1 (SDL 2.28.4, Python 3.12.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
time,id,energy,x,y,heading,fruit_dist,fruit_angle,move_dist,move_dir,turn,actual_move,actual_world_angle
0.1,3,149.90,81.24,960.42,1.8568,-1.00,nan,9.00,0.1206,-0.1100,0.00,nan
0.2,3,149.33,79.46,964.55,1.7468,-1.00,nan,9.00,0.1221,-0.1100,4.50,1.9774
0.3,3,148.76,78.14,968.85,1.6368,-1.00,nan,9.00,0.1235,-0.1100,4.50,1.8689
0.4,3,148.20,77.29,973.27,1.5268,-1.00,nan,9.00,0.1250,-0.1100,4.50,1.7603
0.5,3,147.63,76.92,977.76,1.4168,-1.00,nan,10.00,-2.9876,-0.1500,4.50,1.6517
0.6,3,147.01,76.92,972.76,1.2668,-1.00,nan,9.00,0.1277,-0.1100,5.00,-1.5708
0.7,3,146.44,77.71,977.19,1.1568,-1.00,nan,10.00,-2.7276,-0.1500,4.50,1.3945
0.8,3,145.81,77.71,972.19,1.0068,-1.00,nan,9.00,-0.3945,-0.0710,5.00,-1.5708
0.9,3,145.25,81.40,974.77,0.9358,-1.00,nan,10.00,-2.5066,-0.1500,4.50,0.6122
1.0,3,144.63,81.40,969.77,0.7858,-1.00,nan,9.00,-0.1499,-0.0270,5.00,-1.5708
1.1,3,144.08,85.02,972.45,0.7588,-1.00,nan,9.00,-0.1229,-0.0221,4.50,0.6359
1.2,3,143.52,88.64,975.12,0.7367,-1.00,nan,10.00,-2.3075,-0.1500,4.50,0.6359
1.3,3,142.90,88.64,970.12,0.5867,-1.00,nan,9.00,0.0733,0.0132,5.00,-1.5708
1.4,3,142.35,92.19,972.88,0.5999,-1.00,nan,9.00,0.0601,0.0108,4.50,0.6600
1.5,3,141.79,95.75,975.64,0.6107,-1.00,nan,10.00,-2.1815,-0.1500,4.50,0.6600
1.6,3,141.17,95.75,970.64,0.4607,-1.00,nan,9.00,0.2238,0.0403,5.00,-1.5708
1.7,3,140.61,99.23,973.48,0.5010,-1.00,nan,9.00,0.1835,0.0330,4.50,0.6845
1.8,3,140.06,102.72,976.33,0.5340,-1.00,nan,9.00,0.1505,0.0271,4.50,0.6845
1.9,3,139.50,106.21,979.17,0.5611,-1.00,nan,9.00,0.1234,0.0222,4.50,0.6845
2.0,3,138.95,109.69,982.02,0.5833,-1.00,nan,9.00,0.1012,0.0182,4.50,0.6845
2.1,3,138.40,113.18,984.86,0.6015,-1.00,nan,9.00,0.0830,0.0149,4.50,0.6845
2.2,3,137.85,116.67,987.71,0.6164,145.91,0.2108,10.00,0.2108,0.0211,4.50,0.6845
2.3,3,137.24,120.05,991.39,0.6375,140.91,0.1897,10.00,0.1897,0.0190,5.00,0.8272
2.4,3,136.64,123.44,995.07,0.6565,135.91,0.1707,10.00,0.1707,0.0171,5.00,0.8272
2.5,3,136.04,126.82,998.75,0.6735,130.91,0.1536,10.00,0.1536,0.0154,5.00,0.8272
2.6,3,135.43,130.21,1002.43,0.6889,125.91,0.1383,10.00,0.1383,0.0138,5.00,0.8272
2.7,3,134.83,133.59,1006.11,0.7027,120.91,0.1244,10.00,0.1244,0.0124,5.00,0.8272
2.8,3,134.23,136.97,1009.79,0.7152,115.91,0.1120,10.00,0.1120,0.0112,5.00,0.8272
2.9,3,133.63,140.36,1013.47,0.7264,110.91,0.1008,10.00,0.1008,0.0101,5.00,0.8272
3.0,3,133.03,143.74,1017.15,0.7365,105.91,0.0907,10.00,0.0907,0.0091,5.00,0.8272
3.1,3,132.42,147.13,1020.83,0.7455,100.91,0.0817,10.00,0.0817,0.0082,5.00,0.8272
3.2,3,131.82,150.51,1024.51,0.7537,95.91,0.0735,10.00,0.0735,0.0073,5.00,0.8272
3.3,3,131.22,153.90,1028.19,0.7610,90.91,0.0661,10.00,0.0661,0.0066,5.00,0.8272
3.4,3,130.62,157.28,1031.87,0.7677,85.91,0.0595,10.00,0.0595,0.0060,5.00,0.8272
3.5,3,130.02,160.67,1035.55,0.7736,80.91,0.0536,10.00,0.0536,0.0054,5.00,0.8272
3.6,3,129.42,164.05,1039.23,0.7790,75.91,0.0482,10.00,0.0482,0.0048,5.00,0.8272
3.7,3,128.82,167.44,1042.91,0.7838,70.91,0.0434,10.00,0.0434,0.0043,5.00,0.8272
3.8,3,128.22,170.82,1046.59,0.7881,65.91,0.0391,10.00,0.0391,0.0039,5.00,0.8272
3.9,3,127.62,174.21,1050.27,0.7920,60.91,0.0351,10.00,0.0351,0.0035,5.00,0.8272
4.0,3,127.02,177.59,1053.95,0.7955,55.91,0.0316,10.00,0.0316,0.0032,5.00,0.8272
4.1,3,126.42,180.98,1057.63,0.7987,50.91,0.0285,10.00,0.0285,0.0028,5.00,0.8272
